RA,JC,AA,PA,PPS,SPS,Label
0.119204119,0.116022099,6.820353937,23643,0.343490028,0.148119304,1
0,0,0,44352,0,0,1
0.001293813,0.00735786,1.083598655,72800,0.091507936,0.037850558,1
0.135862145,0.041821561,7.244426185,217750,0.132269076,0.012540726,1
0.010192726,0.017391304,0.662039722,2664,0.129099445,0.079305159,1
0,0,0,1320,0,0,1
0.286031244,0.106007067,18.8252039,381876,0.241932126,0.111146099,1
0,0,0,532,0,0,1
0.017983898,0.028571429,1.555976889,8991,0.276520452,0.085140114,1
0.015154989,0.011123296,7.736880533,797328,0.288811656,0.077414315,1
0.004310646,0.001214698,0.935734466,138033,0.114815827,0.021545817,1
0.006784203,0.017667845,0.73534907,16892,0.055215763,0,1
0.003802281,0.005524862,0.179463811,7552,0,0.012087737,1
0.229166667,0.176470588,1.165532969,96,0.353553391,0.400891863,1
0,0,0,4,0,0,1
0.00203252,0.011111111,0.161329908,664,0.11785113,0.03928371,1
0.00017507,0.000567537,0.1156026,12292,0,0.009235142,1
0.514649043,0.013483697,10.04193772,1096965,0.187711112,0.080909962,1
0.006941876,0.005597015,0.449504036,4248,0.048112522,0.04669296,1
0.374716341,0.052945385,31.07459516,4266994,0.339112016,0.126005755,1
0.085531428,0.08993576,6.227444114,37048,0.216737144,0.02813833,1
0.000829187,0.00280112,0.140943048,4816,0,0.016188098,1
0.000838005,0.010125362,1.96389411,233286,0.228275335,0.04347854,1
0.025725233,0.011235955,0.427350337,1044,0.084666751,0.074535599,1
0.004162531,0.043956044,0.535459059,1134,0.109108945,0.125122249,1
2.78E-05,0.002631579,0.095335499,2618,0.074124932,0.019783565,1
0.001040085,0.004651163,0.686800622,40448,0.053011808,0.030048116,1
0.037034233,0.029177719,1.708010337,11067,0.132809954,0.027882859,1
0,0,0,61,0,0,1
0.028774188,0.02240566,2.718824574,35432,0.26292085,0.080773676,1
0.021197302,0.039647577,1.391714254,2688,0.175162262,0,1
0,0,0,28,0,0,1
0.022518935,0.034246575,0.841198027,3538,0.129301637,0.069567848,1
4.58422808,0.147058824,18.75614716,30644,0.219577516,0.107879243,1
7.25E-06,0.011494253,0.084493733,492,0.15430335,0.045083482,1
0,0,0,275,0,0,1
0.038052899,0.032069971,3.344617652,63812,0.157958937,0.013690497,1
0.017872987,0.017353579,1.267516201,6810,0.236939551,0.086164044,1
0,0,0,1290,0,0,1
0.18645298,0.188679245,2.433759289,572,0.714434508,0.343203236,1
0.010424548,0.036363636,0.37485873,260,0.155699789,0.093250481,1
0.015055818,0.065868263,1.603661337,6696,0.142653498,0.041504854,1
0,0,0,15,0,0,1
